year4,sampledate,totnuf
1996,1996-05-02,868
1996,1996-05-15,960
1996,1996-05-30,953
1996,1996-06-11,817
1996,1996-06-24,929
1996,1996-07-10,1184
1996,1996-07-24,933
1996,1996-08-07,657
1996,1996-08-21,876
1996,1996-09-06,818
1997,1997-05-05,1066
1997,1997-05-16,710
1997,1997-06-11,597
1997,1997-07-08,985
1997,1997-07-25,1099
1997,1997-08-19,1093
1997,1997-09-11,621
1998,1998-05-12,776
1998,1998-06-10,1009
1998,1998-06-24,916
1998,1998-07-07,1288
1998,1998-07-24,1362
1998,1998-08-07,1574
1998,1998-08-19,829
1998,1998-08-31,888
1998,1998-09-29,909
1999,1999-05-11,774
1999,1999-05-24,765
1999,1999-06-08,898
1999,1999-06-22,766
1999,1999-07-19,1070
1999,1999-08-03,943
1999,1999-08-17,827
1999,1999-08-31,903
1999,1999-09-28,1035
2000,2000-05-10,837
2000,2000-05-24,698
2000,2000-06-05,940
2000,2000-06-20,908
2000,2000-07-04,933
2000,2000-07-18,1011
2000,2000-08-01,1055
2000,2000-08-14,1025
2000,2000-08-29,1049
2000,2000-09-26,1007
2001,2001-05-07,1015
2001,2001-05-23,1096
2001,2001-06-06,1172
2001,2001-06-18,957
2001,2001-07-03,1080
2001,2001-07-16,1010
2001,2001-08-01,869
2001,2001-08-15,1202
2001,2001-08-28,903
2001,2001-09-24,1422
2002,2002-05-07,701
2002,2002-05-23,820
2002,2002-06-06,880
2002,2002-06-20,888
2002,2002-07-03,1192
2002,2002-07-18,925
2002,2002-07-31,1218
2002,2002-08-15,1352
2002,2002-08-28,1445
2002,2002-09-26,1352
2003,2003-05-01,1124
2003,2003-05-15,1107
2003,2003-05-29,1014
2003,2003-06-12,1237
2003,2003-06-25,1489
2003,2003-07-10,1641
2003,2003-07-21,1515
2003,2003-08-07,1866
2003,2003-08-22,1866
2003,2003-09-04,1773
2004,2004-05-13,1049
2004,2004-05-26,1359
2004,2004-06-10,1014
2004,2004-06-24,1039
2004,2004-07-09,965
2004,2004-07-22,735
2004,2004-08-04,870
2004,2004-08-18,898
2005,2005-05-12,327
2005,2005-05-25,617
2005,2005-06-08,733
2005,2005-06-22,739
2005,2005-07-06,865
2005,2005-07-22,911
2005,2005-08-04,834
2005,2005-08-16,754
2005,2005-08-31,910
2005,2005-09-29,911
2006,2006-05-08,783
2006,2006-05-17,929
2006,2006-06-01,746
2006,2006-06-14,856
2006,2006-06-28,977
2006,2006-07-12,1000
2006,2006-07-26,1087
2006,2006-08-09,998
2006,2006-08-22,874
2006,2006-09-14,990
2007,2007-05-03,814
2007,2007-05-15,695
2007,2007-05-30,729
2007,2007-06-13,683
2007,2007-06-26,721
2007,2007-07-11,910
2007,2007-07-24,928
2007,2007-08-08,821
2007,2007-08-21,942
2007,2007-09-05,710
2008,2008-05-13,626
2008,2008-07-09,448
2009,2009-05-12,598
2009,2009-05-27,656
2009,2009-06-22,689
2009,2009-07-07,508
2009,2009-07-21,759
2009,2009-08-03,734
2009,2009-08-17,675
2009,2009-08-31,608
2010,2010-05-12,877
2010,2010-05-26,706
2010,2010-06-10,807
2010,2010-06-22,615
2010,2010-07-07,755
2010,2010-07-21,812
2010,2010-08-05,777
2010,2010-08-17,905
2010,2010-08-31,892
2011,2011-05-04,542
2011,2011-05-18,605
2011,2011-06-01,576
2011,2011-06-15,547
2011,2011-06-28,568
2011,2011-07-13,633
2011,2011-07-26,619
2011,2011-08-10,756
2011,2011-08-23,724
2011,2011-09-15,602
2012,2012-05-03,645
2012,2012-05-17,341
2012,2012-05-30,500
2012,2012-06-13,386
2012,2012-06-26,494
2012,2012-07-12,726
2012,2012-07-24,352
2012,2012-08-08,640
2012,2012-08-24,401
2012,2012-09-05,474
2013,2013-05-15,527
2013,2013-05-29,488
2013,2013-06-12,626
2013,2013-06-24,1049
2013,2013-07-10,1125
2013,2013-07-22,594
2013,2013-08-08,1140
2013,2013-08-19,812
2013,2013-09-09,793
2014,2014-05-02,696
2014,2014-05-15,722
2014,2014-06-03,979
2014,2014-06-12,665
2014,2014-06-24,848
2014,2014-07-10,527
2014,2014-07-23,690
2014,2014-08-06,628
2014,2014-08-19,695
2014,2014-09-08,787
2014,2014-09-30,647
2015,2015-05-12,775
2015,2015-05-28,726
2015,2015-06-11,730
2015,2015-06-24,697
2015,2015-07-10,785
2015,2015-07-23,716
2015,2015-08-05,671
2015,2015-08-17,877
2015,2015-09-08,741
2016,2016-05-16,910
2016,2016-05-25,639
2016,2016-06-09,725
2016,2016-06-21,570
2016,2016-07-07,835
2016,2016-07-20,726
2016,2016-08-03,649
2016,2016-08-17,654
2016,2016-09-08,809
2016,2016-09-29,821
2017,2017-05-04,683
2017,2017-05-18,683
2017,2017-06-01,716
2017,2017-06-14,636
2017,2017-06-27,704
2017,2017-07-12,876
2017,2017-07-26,870
2017,2017-08-09,1372
2017,2017-08-21,1155
2017,2017-09-08,1243
2018,2018-05-16,710
2018,2018-05-31,682
2018,2018-06-14,731
2018,2018-06-28,671
2018,2018-07-13,765
2018,2018-07-24,855
2018,2018-08-09,1072
2018,2018-08-21,1288
2018,2018-09-06,1074
2019,2019-05-01,580
2019,2019-05-15,509
2019,2019-05-30,572
2019,2019-06-14,830
2019,2019-06-26,654
2019,2019-07-11,747
2019,2019-07-24,1158
2019,2019-08-07,1310
2019,2019-08-19,465
2019,2019-09-09,629
2020,2020-06-08,768
2020,2020-08-06,1514
2021,2021-06-04,801
2021,2021-06-17,628
2021,2021-07-20,692
2021,2021-07-29,898
2021,2021-08-11,882
2021,2021-09-02,1040
2021,2021-09-14,785
2022,2022-05-18,781.3
2022,2022-07-20,524.4
2022,2022-08-12,723.4
2022,2022-09-09,711.6
