sample_date,species_name,larger_group,density,avg_length,individuals_measured,ug_m2,ug_m3,ug_L
2007-03-08,copepod nauplii,COPEPODA,310529,0.5731928104575164,NA,361519.745907388,120506.58196912933,120.50658196912933
2007-03-08,copepodites,COPEPODA,14854,0.44,21,14598.456751080988,4866.152250360329,4.866152250360329
2007-03-08,diacyclops thomasi,COPEPODA,103274,0.44,NA,184411.8609188372,61470.62030627907,61.470620306279066
2007-03-08,diaptomid,COPEPODA,15562,1.1102891156462584,NA,57523.77271772818,19174.590905909394,19.174590905909394
2007-03-08,daphnia pulicaria,CLADOCERA,707,0.99,3,4811.159946420277,1603.7199821400925,1.6037199821400925
2007-03-08,sinobosmina fryei,CLADOCERA,25229,0.57,78,127819.87692347013,42606.62564115671,42.60662564115671
2007-04-18,copepod nauplii,COPEPODA,163399,0.5731928104575164,NA,190230.1072090571,63410.03573635237,63.41003573635237
2007-04-18,copepodites,COPEPODA,66491,0.43,81,61839.25693737571,20613.085645791904,20.613085645791905
2007-04-18,diacyclops thomasi,COPEPODA,109640,0.44,NA,195779.34844337692,65259.78281445897,65.25978281445897
2007-04-18,diaptomid,COPEPODA,12025,1.1102891156462584,NA,44449.515931800626,14816.505310600209,14.816505310600208
2007-04-18,chydorus,CLADOCERA,9903,0.32,42,14613.112880481816,4871.037626827272,4.871037626827272
2007-04-18,daphnia pulicaria,CLADOCERA,13204,0.92,56,73605.63405244576,24535.211350815254,24.535211350815253
2007-04-18,sinobosmina fryei,CLADOCERA,6602,0.44,28,18783.373685048493,6261.124561682831,6.261124561682831
2007-07-11,copepod nauplii,COPEPODA,36075,0.5731928104575164,NA,41998.73388188872,13999.577960629575,13.999577960629574
2007-07-11,copepodites,COPEPODA,707,0.39,1,520.1775143670459,173.3925047890153,0.1733925047890153
2007-07-11,diacyclops thomasi,COPEPODA,16269,0.44,NA,29050.84111478748,9683.61370492916,9.68361370492916
2007-07-11,diaptomid,COPEPODA,31831,1.1102891156462584,NA,117660.91822246535,39220.306074155116,39.22030607415512
2007-07-11,chydorus,CLADOCERA,3301,0.28,12,3739.5610364944896,1246.5203454981631,1.246520345498163
2007-07-11,daphnia retrocurva,CLADOCERA,7074,1.03,30,57928.073157634615,19309.357719211537,19.309357719211537
2007-07-11,diaphanosoma birgei,CLADOCERA,69085,0.74,90,255724.15409959198,85241.384699864,85.241384699864
2007-07-11,sinobosmina fryei,CLADOCERA,71207,0.4,90,163814.49720817167,54604.83240272389,54.60483240272389
2007-08-08,copepod nauplii,COPEPODA,20513,0.5731928104575164,NA,23881.359060822822,7960.453020274274,7.960453020274274
2007-08-08,copepodites,COPEPODA,2122,0.43,3,1973.543836325386,657.8479454417953,0.6578479454417954
2007-08-08,diacyclops thomasi,COPEPODA,11318,0.44,NA,20210.057147775813,6736.685715925271,6.7366857159252715
2007-08-08,diaptomid,COPEPODA,6366,1.1102891156462584,NA,23531.444359404806,7843.814786468269,7.843814786468268
2007-08-08,chydorus,CLADOCERA,1415,0.34,6,2354.2531867625635,784.7510622541878,0.7847510622541878
2007-08-08,daphnia retrocurva,CLADOCERA,31831,0.78,90,121172.54733436233,40390.84911145411,40.39084911145411
2007-08-08,diaphanosoma birgei,CLADOCERA,62955,0.71,90,223164.57715530126,74388.19238510042,74.38819238510042
2007-08-08,sinobosmina fryei,CLADOCERA,31595,0.37,90,61090.62106416374,20363.540354721245,20.363540354721245
2007-09-05,copepod nauplii,COPEPODA,14147,0.5731928104575164,NA,16470.023235677887,5490.007745225962,5.490007745225962
2007-09-05,copepodites,COPEPODA,2122,0.49,3,2700.1822376353016,900.0607458784339,0.9000607458784339
2007-09-05,diacyclops thomasi,COPEPODA,11318,0.44,NA,20210.057147775813,6736.685715925271,6.7366857159252715
2007-09-05,diaptomid,COPEPODA,7781,1.1102891156462584,NA,28761.88635886409,9587.295452954697,9.587295452954697
2007-09-05,chydorus,CLADOCERA,472,0.23,2,362.24256947416546,120.74752315805516,0.12074752315805516
2007-09-05,daphnia retrocurva,CLADOCERA,30180,0.86,90,150350.2914359024,50116.763811967474,50.11676381196747
2007-09-05,diaphanosoma birgei,CLADOCERA,11553,0.73,49,42160.37435950148,14053.458119833827,14.053458119833827
2007-09-05,sinobosmina fryei,CLADOCERA,30652,0.44,90,87208.11423721696,29069.371412405653,29.069371412405655
2007-10-31,copepod nauplii,COPEPODA,14147,0.5731928104575164,NA,16470.023235677887,5490.007745225962,5.490007745225962
2007-10-31,copepodites,COPEPODA,3537,0.43,5,3289.549740378365,1096.5165801261217,1.0965165801261216
2007-10-31,diacyclops thomasi,COPEPODA,9196,0.44,4,16420.8946395959,5473.631546531967,5.4736315465319665
2007-10-31,diaptomid,COPEPODA,14854,1.1102891156462584,NA,54906.70350527788,18302.234501759292,18.302234501759294
2007-10-31,chydorus,CLADOCERA,707,0.27,3,745.2949598169769,248.43165327232563,0.24843165327232564
2007-10-31,daphnia retrocurva,CLADOCERA,15798,0.86,67,78702.24997032428,26234.083323441428,26.23408332344143
2007-10-31,sinobosmina fryei,CLADOCERA,60361,0.43,91,163154.35772424575,54384.78590808192,54.384785908081916
2008-02-18,copepod nauplii,COPEPODA,26880,0.5731928104575164,NA,31293.85909203517,10431.286364011723,10.431286364011722
2008-02-18,copepodites,COPEPODA,12025,0.45,17,12473.03734163321,4157.679113877736,4.1576791138777365
2008-02-18,diacyclops thomasi,COPEPODA,12025,0.44,NA,21472.516098427648,7157.505366142549,7.157505366142549
2008-02-18,diaptomid,COPEPODA,25465,1.1102891156462584,NA,94129.47386306054,31376.491287686847,31.376491287686846
2008-02-18,daphnia retrocurva,CLADOCERA,707,1.35,3,12200.28339181122,4066.7611306037397,4.06676113060374
2008-02-18,daphnia pulicaria,CLADOCERA,707,0.86,3,3280.634541927857,1093.5448473092856,1.0935448473092857
2008-02-18,sinobosmina fryei,CLADOCERA,1650,0.45,7,4935.5740956047575,1645.1913652015858,1.6451913652015857
2008-04-15,copepod nauplii,COPEPODA,99737,0.5731928104575164,NA,116114.42054547291,38704.80684849097,38.70480684849097
2008-04-15,copepodites,COPEPODA,7074,0.45,10,7337.568910994871,2445.856303664957,2.445856303664957
2008-04-15,diacyclops thomasi,COPEPODA,29709,0.44,NA,53050.06077074321,17683.353590247734,17.683353590247734
2008-04-15,diaptomid,COPEPODA,7781,1.1102891156462584,NA,28761.88635886409,9587.295452954697,9.587295452954697
2008-04-15,chydorus,CLADOCERA,3301,0.28,14,3739.5610364944896,1246.5203454981631,1.246520345498163
2008-04-15,daphnia pulicaria,CLADOCERA,3065,0.71,13,8444.148056881011,2814.716018960337,2.814716018960337
2008-04-15,sinobosmina fryei,CLADOCERA,3301,0.4,14,7594.080010169992,2531.3600033899975,2.5313600033899974
2008-07-09,copepod nauplii,COPEPODA,168351,0.5731928104575164,NA,195995.25565488145,65331.75188496048,65.33175188496048
2008-07-09,copepodites,COPEPODA,38197,0.42,27,33574.121369315355,11191.373789771786,11.191373789771786
2008-07-09,diacyclops thomasi,COPEPODA,43856,0.44,NA,78311.73937735076,26103.913125783587,26.10391312578359
2008-07-09,mesocyclops edax,COPEPODA,8488,1.1383269314459792,NA,122874.91228952365,40958.30409650788,40.95830409650788
2008-07-09,diaptomid,COPEPODA,24050,1.1102891156462584,NA,88899.03186360125,29633.010621200418,29.633010621200416
2008-07-09,chydorus,CLADOCERA,23107,0.31,49,32020.214462977372,10673.404820992457,10.673404820992456
2008-07-09,daphnia mendotae,CLADOCERA,1415,1.24,3,21497.997462213512,7165.999154071171,7.165999154071171
2008-07-09,daphnia retrocurva,CLADOCERA,6130,0.63,13,12955.627787647187,4318.542595882395,4.318542595882395
2008-07-09,daphnia pulicaria,CLADOCERA,472,0.59,1,785.8906509918216,261.96355033060723,0.26196355033060725
2008-07-09,diaphanosoma birgei,CLADOCERA,3301,0.64,7,10498.000950328164,3499.3336501093877,3.4993336501093877
2008-07-09,sinobosmina fryei,CLADOCERA,2358,0.34,5,3776.0798743587084,1258.6932914529027,1.2586932914529028
2008-08-06,copepod nauplii,COPEPODA,101859,0.5731928104575164,NA,118584.86582052123,39528.28860684041,39.52828860684041
2008-08-06,copepodites,COPEPODA,21221,0.43,15,19736.368402762026,6578.789467587342,6.578789467587343
2008-08-06,diacyclops thomasi,COPEPODA,7074,0.44,NA,12631.732131415984,4210.577377138661,4.210577377138661
2008-08-06,mesocyclops edax,COPEPODA,1415,1.1383269314459792,NA,20483.977484646086,6827.992494882029,6.827992494882029
2008-08-06,diaptomid,COPEPODA,32538,1.1102891156462584,NA,120274.29100947433,40091.430336491445,40.09143033649144
2008-08-06,chydorus,CLADOCERA,1415,0.31,3,1960.8172183802737,653.6057394600913,0.6536057394600913
2008-08-06,daphnia retrocurva,CLADOCERA,22635,0.71,48,66500.11666030486,22166.705553434953,22.16670555343495
2008-08-06,diaphanosoma birgei,CLADOCERA,40083,0.82,84,165182.2149720535,55060.73832401784,55.06073832401784
2008-08-06,sinobosmina fryei,CLADOCERA,12261,0.38,26,25159.33889832605,8386.446299442016,8.386446299442015
2008-09-08,copepod nauplii,COPEPODA,20513,0.5731928104575164,NA,23881.359060822822,7960.453020274274,7.960453020274274
2008-09-08,copepodites,COPEPODA,2829,0.38,4,1955.647980131934,651.882660043978,0.651882660043978
2008-09-08,diacyclops thomasi,COPEPODA,11318,0.44,NA,20210.057147775813,6736.685715925271,6.7366857159252715
2008-09-08,mesocyclops edax,COPEPODA,707,1.1383269314459792,NA,10234.750587734829,3411.583529244943,3.411583529244943
2008-09-08,diaptomid,COPEPODA,7781,1.1102891156462584,NA,28761.88635886409,9587.295452954697,9.587295452954697
2008-09-08,chydorus,CLADOCERA,2594,0.26,11,2537.6532229271857,845.8844076423952,0.8458844076423953
2008-09-08,daphnia,CLADOCERA,472,0.64,2,2110.7497998933536,703.5832666311179,0.7035832666311179
2008-09-08,daphnia retrocurva,CLADOCERA,13911,0.72,59,42475.23112710479,14158.410375701596,14.158410375701596
2008-09-08,diaphanosoma birgei,CLADOCERA,4716,0.63,20,14753.10989812562,4917.703299375206,4.917703299375207
2008-09-08,sinobosmina fryei,CLADOCERA,15562,0.36,66,28307.207794245143,9435.735931415047,9.435735931415048
2008-11-03,copepod nauplii,COPEPODA,39612,0.5731928104575164,NA,46116.53074232504,15372.176914108348,15.372176914108348
2008-11-03,copepodites,COPEPODA,15562,0.42,22,13678.573624873303,4559.524541624434,4.559524541624434
2008-11-03,diacyclops thomasi,COPEPODA,12732,0.44,NA,22734.975049079487,7578.325016359829,7.578325016359829
2008-11-03,mesocyclops edax,COPEPODA,707,1.1383269314459792,NA,10234.750587734829,3411.583529244943,3.411583529244943
2008-11-03,diaptomid,COPEPODA,21221,1.1102891156462584,NA,78441.844290124,26147.281430041334,26.147281430041335
2008-11-03,aglaodiaptomus clavipes,COPEPODA,3537,1.4,5,23126.99644228812,7708.99881409604,7.708998814096041
2008-11-03,chydorus,CLADOCERA,3773,0.28,16,4274.269551861166,1424.7565172870554,1.4247565172870553
2008-11-03,daphnia,CLADOCERA,236,0.64,NA,1055.3748999466768,351.79163331555895,0.35179163331555896
2008-11-03,daphnia retrocurva,CLADOCERA,2829,0.81,12,11949.391147880273,3983.1303826267576,3.9831303826267574
2008-11-03,sinobosmina fryei,CLADOCERA,24993,0.34,90,40023.564164481424,13341.188054827142,13.341188054827143
2009-02-16,copepod nauplii,COPEPODA,94786,0.5731928104575164,NA,110350.43630571598,36783.47876857199,36.783478768571996
2009-02-16,copepodites,COPEPODA,8488,0.47,12,9772.762270316302,3257.587423438767,3.257587423438767
2009-02-16,diacyclops thomasi,COPEPODA,30416,0.44,NA,54312.519721395045,18104.173240465014,18.104173240465013
2009-02-16,diaptomid,COPEPODA,47393,1.34,66,278228.2298339356,92742.74327797854,92.74274327797855
2009-02-16,daphnia mendotae,CLADOCERA,1650,1.08,7,20291.618081222605,6763.872693740868,6.763872693740868
2009-02-16,sinobosmina fryei,CLADOCERA,11789,0.39,50,25632.84437046435,8544.28145682145,8.544281456821452
2009-04-13,copepod nauplii,COPEPODA,319017,0.5731928104575164,NA,371401.52700758126,123800.50900252709,123.8005090025271
2009-04-13,copepodites,COPEPODA,19099,0.45,27,19810.60625262808,6603.535417542694,6.603535417542694
2009-04-13,diacyclops thomasi,COPEPODA,141471,0.44,NA,252618.57172230005,84206.19057410002,84.20619057410002
2009-04-13,mesocyclops edax,COPEPODA,8488,1.1383269314459792,NA,122874.91228952365,40958.30409650788,40.95830409650788
2009-04-13,diaptomid,COPEPODA,27587,1.26,38,139195.5027465761,46398.500915525365,46.39850091552537
2009-04-13,chydorus,CLADOCERA,3301,0.31,14,4574.31635185391,1524.7721172846368,1.524772117284637
2009-04-13,daphnia mendotae,CLADOCERA,2829,0.96,12,29053.07418498708,9684.35806166236,9.68435806166236
2009-04-13,daphnia pulicaria,CLADOCERA,15090,0.94,64,89186.60939443366,29728.869798144555,29.728869798144554
2009-04-13,sinobosmina fryei,CLADOCERA,25465,0.4,92,58583.23158405903,19527.74386135301,19.52774386135301
2009-06-11,copepod nauplii,COPEPODA,148545,0.5731928104575164,NA,172936.99028371891,57645.66342790631,57.64566342790631
2009-06-11,copepodites,COPEPODA,8488,0.56,6,14881.05562712549,4960.351875708497,4.960351875708497
2009-06-11,acanthocyclops,COPEPODA,8488,0.54,NA,10755.015145772322,3585.005048590774,3.5850050485907743
2009-06-11,diacyclops thomasi,COPEPODA,12732,0.44,NA,22734.975049079487,7578.325016359829,7.578325016359829
2009-06-11,mesocyclops edax,COPEPODA,7074,1.1383269314459792,NA,102405.41111405399,34135.137038017994,34.135137038017994
2009-06-11,tropocyclops,COPEPODA,1415,0.70225,NA,8710.666724213173,2903.5555747377243,2.9035555747377244
2009-06-11,diaptomid,COPEPODA,200889,1.2,96,898982.4432766561,299660.81442555203,299.660814425552
2009-06-11,chydorus,CLADOCERA,16505,0.26,35,16146.478968547879,5382.159656182626,5.382159656182626
2009-06-11,daphnia mendotae,CLADOCERA,51873,1.3,91,847198.5191888625,282399.5063962875,282.3995063962875
2009-06-11,daphnia retrocurva,CLADOCERA,49986,1.21,88,637960.13769272645,212653.37923090882,212.65337923090883
2009-06-11,daphnia pulicaria,CLADOCERA,1886,0.8980666666666667,NA,9845.633610571918,3281.8778701906394,3.2818778701906393
2009-06-11,sinobosmina fryei,CLADOCERA,37726,0.44,79,107334.37680129346,35778.12560043115,35.77812560043115
2009-07-07,copepod nauplii,COPEPODA,121665,0.5731928104575164,NA,141643.13119168373,47214.37706389458,47.21437706389458
2009-07-07,copepodites,COPEPODA,7781,0.5,11,10392.99049614437,3464.3301653814565,3.4643301653814564
2009-07-07,diacyclops thomasi,COPEPODA,7781,0.44,NA,13894.19108206782,4631.39702735594,4.6313970273559395
2009-07-07,mesocyclops edax,COPEPODA,6366,1.1383269314459792,NA,92156.18421714274,30718.728072380913,30.718728072380912
2009-07-07,tropocyclops,COPEPODA,2829,0.70225,NA,17415.177500211354,5805.059166737118,5.805059166737118
2009-07-07,diaptomid,COPEPODA,52344,1.13,65,202045.44609281098,67348.482030937,67.34848203093699
2009-07-07,chydorus,CLADOCERA,19570,0.25,80,17714.705214268757,5904.901738089586,5.904901738089586
2009-07-07,daphnia mendotae,CLADOCERA,3537,1.09,15,44115.66109714964,14705.220365716546,14.705220365716546
2009-07-07,daphnia retrocurva,CLADOCERA,111291,0.97,102,772446.5413869153,257482.18046230508,257.4821804623051
2009-07-07,diaphanosoma birgei,CLADOCERA,8488,0.6,36,25232.46159523302,8410.82053174434,8.41082053174434
2009-07-07,sinobosmina fryei,CLADOCERA,213857,0.38,107,438830.4982284735,146276.83274282448,146.27683274282447
2009-08-03,copepod nauplii,COPEPODA,93371,0.5731928104575164,NA,108703.08472032797,36234.36157344266,36.234361573442655
2009-08-03,copepodites,COPEPODA,4951,0.42,7,4351.79398642512,1450.59799547504,1.45059799547504
2009-08-03,diacyclops thomasi,COPEPODA,5659,0.44,NA,10105.028573887907,3368.3428579626357,3.3683428579626358
2009-08-03,diaptomid,COPEPODA,11318,0.86,16,22317.475553136388,7439.15851771213,7.43915851771213
2009-08-03,chydorus,CLADOCERA,4480,0.23,19,3438.2345577208926,1146.078185906964,1.1460781859069642
2009-08-03,daphnia retrocurva,CLADOCERA,236,0.9,1,1332.5879166103803,444.1959722034601,0.4441959722034601
2009-08-03,diaphanosoma birgei,CLADOCERA,943,0.58,4,2705.6480649762498,901.8826883254166,0.9018826883254165
2009-08-03,sinobosmina fryei,CLADOCERA,472,0.24,2,347.73515198320587,115.91171732773529,0.1159117173277353
2009-08-31,copepod nauplii,COPEPODA,78516,0.5731928104575164,NA,91408.80358892237,30469.601196307456,30.469601196307455
2009-08-31,copepodites,COPEPODA,16977,0.42,24,14922.320037879068,4974.106679293022,4.974106679293023
2009-08-31,diacyclops thomasi,COPEPODA,53052,0.44,NA,94732.63401694667,31577.54467231556,31.577544672315558
2009-08-31,mesocyclops edax,COPEPODA,90541,1.1383269314459792,NA,1310699.5091429972,436899.83638099907,436.8998363809991
2009-08-31,diaptomid,COPEPODA,100444,1.05,92,323637.51894313603,107879.17298104534,107.87917298104534
2009-08-31,chydorus,CLADOCERA,8252,0.24,35,6889.7974793026415,2296.599159767547,2.296599159767547
2009-08-31,daphnia retrocurva,CLADOCERA,236,1.79,1,8859.874698489723,2953.291566163241,2.953291566163241
2009-08-31,diaphanosoma birgei,CLADOCERA,11789,0.84,50,49822.176029153576,16607.39200971786,16.60739200971786
2009-08-31,sinobosmina fryei,CLADOCERA,1650,0.42,7,4232.009704670351,1410.6699015567838,1.4106699015567838
2009-11-04,copepod nauplii,COPEPODA,63662,0.5731928104575164,NA,74115.68666358419,24705.228887861394,24.705228887861395
2009-11-04,copepodites,COPEPODA,2122,0.39,3,1561.26829630392,520.4227654346399,0.52042276543463994
2009-11-04,diacyclops thomasi,COPEPODA,33953,0.44,NA,60628.385787103034,20209.461929034343,20.209461929034344
2009-11-04,mesocyclops edax,COPEPODA,1415,1.1383269314459792,NA,20483.977484646086,6827.992494882029,6.827992494882029
2009-11-04,diaptomid,COPEPODA,40319,1.28,57,211473.26254439037,70491.08751479679,70.49108751479679
2009-11-04,chydorus,CLADOCERA,16741,0.33,71,26255.038212231462,8751.679404077155,8.751679404077155
2009-11-04,daphnia mendotae,CLADOCERA,707,1.1,3,8942.237606023726,2980.7458686745754,2.9807458686745756
2009-11-04,daphnia retrocurva,CLADOCERA,2122,1.25,9,29621.479976749986,9873.826658916661,9.873826658916661
2009-11-04,sinobosmina fryei,CLADOCERA,17684,0.35,73,30209.274911936074,10069.758303978691,10.069758303978691
2010-02-05,copepod nauplii,COPEPODA,41734,0.5731928104575164,NA,48586.97601737335,16195.658672457785,16.195658672457785
2010-02-05,diacyclops thomasi,COPEPODA,9903,0.44,NA,17683.353590247734,5894.451196749244,5.894451196749245
2010-02-05,diaptomid,COPEPODA,2829,1.36,3,17224.548633141916,5741.516211047306,5.741516211047306
2010-02-05,sinobosmina fryei,CLADOCERA,943,0.46,4,2962.394500716513,987.464833572171,0.987464833572171
2010-04-14,copepod nauplii,COPEPODA,430779,0.5731928104575164,NA,501515.52551368374,167171.84183789458,167.1718418378946
2010-04-14,copepodites,COPEPODA,2122,0.38,3,1466.908806588888,488.96960219629597,0.488969602196296
2010-04-14,diacyclops thomasi,COPEPODA,166936,0.44,NA,298090.3074766834,99363.43582556113,99.36343582556113
2010-04-14,mesocyclops edax,COPEPODA,16977,1.1383269314459792,NA,245764.30088822372,81921.43362940791,81.92143362940791
2010-04-14,diaptomid,COPEPODA,35368,1.3,50,192717.13764602965,64239.04588200988,64.23904588200988
2010-04-14,chydorus,CLADOCERA,9196,0.32,39,13569.846112179217,4523.282037393073,4.523282037393073
2010-04-14,daphnia mendotae,CLADOCERA,2122,1.07,9,25727.414344973917,8575.804781657973,8.575804781657974
2010-04-14,daphnia retrocurva,CLADOCERA,707,1.15,3,7843.483901272916,2614.494633757639,2.614494633757639
2010-04-14,daphnia pulicaria,CLADOCERA,45742,0.84,95,199093.6734378286,66364.55781260954,66.36455781260953
2010-04-14,sinobosmina fryei,CLADOCERA,147601,0.41,96,358776.1063684593,119592.0354561531,119.5920354561531
2010-06-10,copepod nauplii,COPEPODA,132275,0.5731928104575164,NA,153995.3575669253,51331.78585564176,51.33178585564176
2010-06-10,copepodites,COPEPODA,3537,0.41,5,2934.2250496247616,978.0750165415872,0.9780750165415871
2010-06-10,diacyclops thomasi,COPEPODA,16977,0.44,NA,30315.08572166372,10105.028573887907,10.105028573887907
2010-06-10,mesocyclops edax,COPEPODA,48808,1.1383269314459792,NA,706559.6982831139,235519.89942770463,235.51989942770462
2010-06-10,diaptomid,COPEPODA,77102,1.27,91,396672.40130830946,132224.13376943648,132.2241337694365
2010-06-10,chydorus,CLADOCERA,13440,0.28,57,15225.598403661297,5075.199467887099,5.075199467887098
2010-06-10,daphnia mendotae,CLADOCERA,2358,1.12,10,30658.077931088465,10219.359310362821,10.21935931036282
2010-06-10,daphnia retrocurva,CLADOCERA,15326,1.15,65,170027.20547511842,56675.73515837281,56.67573515837281
2010-06-10,daphnia pulicaria,CLADOCERA,1415,1.02,6,10443.631973061729,3481.210657687243,3.481210657687243
2010-06-10,diaphanosoma birgei,CLADOCERA,4244,0.87,18,18606.128173332683,6202.042724444228,6.202042724444228
2010-06-10,sinobosmina fryei,CLADOCERA,4716,0.35,20,8056.262185291253,2685.420728430418,2.685420728430418
2010-07-07,copepod nauplii,COPEPODA,12025,0.5731928104575164,NA,13999.577960629573,4666.525986876524,4.6665259868765245
2010-07-07,copepodites,COPEPODA,11318,0.31,16,4799.708466773307,1599.902822257769,1.599902822257769
2010-07-07,mesocyclops edax,COPEPODA,7781,1.1383269314459792,NA,112640.16170178882,37546.72056726294,37.546720567262945
2010-07-07,diaptomid,COPEPODA,5659,1.1102891156462584,NA,20918.07157239582,6972.69052413194,6.97269052413194
2010-07-07,chydorus,CLADOCERA,707,0.17,3,298.2614751554116,99.42049171847053,0.09942049171847053
2010-07-07,daphnia retrocurva,CLADOCERA,943,0.61,4,1823.506686410104,607.8355621367014,0.6078355621367013
2010-07-07,daphnia pulicaria,CLADOCERA,236,1.17,1,2529.765112599567,843.255037533189,0.843255037533189
2010-07-07,diaphanosoma birgei,CLADOCERA,8960,0.55,37,24319.27033533058,8106.423445110194,8.106423445110194
2010-07-07,sinobosmina fryei,CLADOCERA,3065,0.37,13,5926.341305955431,1975.4471019851437,1.9754471019851436
2010-08-05,copepodites,COPEPODA,6366,0.38,8,4400.726419766664,1466.908806588888,1.466908806588888
2010-08-05,acanthocyclops,COPEPODA,2829,0.54,2,3584.5826870157753,1194.8608956719252,1.194860895671925
